codcomp,dirección,estrato,estado1,Visita 1,estado2,Visita2,estado3,Visita3,observaciones,tot_viviendas
0113030601,Carlos María Ramírez Barbería arriba,Villa Del Cerro,R,23/6/2023,,,,,,49
0113030601,Pedro Castellino 1529,Villa Del Cerro,H,23/6/2023,,,,,,49
0113030601,Carlos María Ramírez 1546,Villa Del Cerro,MA,23/6/2023,MA,22/07/2023,,,,49
0113030601,Ramón Tabárez 4348,Villa Del Cerro,MA,23/6/2023,H,22/07/2023,,,,49
0113030601,Ramón Tabárez 4310,Villa Del Cerro,F,23/6/2023,H,22/07/2023,,,,49
0113030601,Pedro Castellino 1533,Villa Del Cerro,F,23/6/2023,H,22/07/2023,,,,49
0113030007,Vigo 4240,Villa Del Cerro,F,23/6/2023,MA,22/07/2023,,,,36
0113030007,Estados Unidos 1538,Villa Del Cerro,MA,23/6/2023,H,22/7/2023,,,,36
0113030007,Vigo 4218,Villa Del Cerro,R,23/6/2023,,,,,,36
0113030007,Vigo 4250,Villa Del Cerro,MA,23/6/2023,MA,22/07/2023,,,Casa verde,36
0113030007,Estados Unidos 1540,Villa Del Cerro,F,23/6/2023,MA,22/07/2023,,,,36
0113030007,Japón 1537,Villa Del Cerro,F,23/6/2023,R,22/07/2023,,,,36
0113029010,Grecia 4238 bis,Villa Del Cerro,F,23/6/2023,MA,24/6/2023,MA,22/7/2023,,30
0113029010,Estados Unidos 1660,Villa Del Cerro,H,23/6/2023,,,,,,30
0113029010,Estados Unidos 1690,Villa Del Cerro,MA,23/6/2023,H,22/07/2023,,,,30
0113029010,Japon 1653,Villa Del Cerro,H,23/6/2023,,,,,,30
0113029010,Turquía 4215,Villa Del Cerro,R,23/6/2023,,,,,,30
0113029010,Estados Unidos 1680,Villa del Cerro,F,23/6/2023,H,24/06/2023,,,,30
0113029008,Japón 1606,Villa Del Cerro,MA,23/6/2023,H,22/07/2023,,,,35
0113029008,Turquía 4270,Villa del Cerro,MA,23/6/2023,H,22/07/2023,,,,35
0113029008,Carlos María Ramírez 1623,Villa del Cerro,H,23/6/2023,,,,,,35
0113029008,Egipto 4257,Villa del Cerro,MA,23/6/2023,MA,22/07/2023,,,,35
0113029008,Egipto 4251,Villa del Cerro ,MA,23/6/2023,H,22/07/2023,,,,35
0113029008,Japón 1636,Villa del Cerro,F,23/6/2023,MA,22072023,,,,35
0113018011,Austria 1707,Villa del Cerro,NC,24/6/2023,,,,,casa abandonada,30
0113018011,Grecia 3877,Villa del Cerro,NC,24/6/2023,,,,,comercio,30
0113018011,Grecia 3853,Villa del Cerro,H,24/6/2023,,,,,,30
0113018011,Suecia 1744,Villa del Cerro,NC,24/6/2023,,,,,casa no habitada,30
0113018011,Austria 1733,Villa del Cerro,R,24/6/2023,,,,,vecinos nuevos no contestan,30
0113018011,Chile 3860,Villa del Cerro,H,24/6/2023,,,,,,30
0113020003,Turquía 3945,Villa del Cerro,H,24/6/2023,,,,,,11
0113020003,Turquía 3955,Villa del Cerro,MA,24/6/2023,,,,,,11
0113020003,Turquía 3913,Villa del Cerro,H,24/6/2023,,,,,,11
0113020003,Austria 1038,Villa del Cerro,R,24/6/2023,,,,,mudanza,11
0113020003,Austria 1675,Villa del Cerro,R,24/6/2023,,,,,señora cocinando,11
0113020003,Grecia 3920,Villa del Cerro,H,24/6/2023,,,,,,11
0113019001,Turquía 386,Villa Del Cerro,MA,24/6/2023,,,,,12:30,26
0113019001,Suecia 1682,Villa Del Cerro,H,24/6/2023,,,,,,26
0113019001,Grecia 3858,Villa Del Cerro,MA,24/6/2023,,,,,21:40,26
0113019001,Grecia 3982,Villa Del Cerro,R,24/6/2023,,,,,,26
0113019001,Austria 1677,Villa Del Cerro,R,24/6/2023,,,,,,26
0113019001,Turquía 3889,Villa Del Cerro,MA,24/6/2023,,,,,12:45,26
0113002902,Haití 1633,Villa Del Cerro,MA,23/6/2023,MA,22/07/2023,,,,45
0113002902,B moretti 4371,Villa Del Cerro,R,24/6/2023,,,,,,45
0113002902,Pedro Costellino 1616,Villa Del Cerro,MA,23/6/2023,MA,22/07/2023,,,,45
0113002902,Turquía 4362,Villa Del Cerro,MA,23/6/2023,H,22/07/2023,,,,45
0113002902,Haití 16432,Villa Del Cerro,R,23/6/2023,,,,,,45
0113002902,Haití 1607,Villa Del Cerro,H,23/6/2023,,,,,,45
0113028002,Burdeos 1726 ,Villa del Cerro,MA,23/6/2023,H,01/07/2023,,,,30
0113028002,Chile 4102,Villa del Cerro,MA,23/6/2023,MA,01/07/2023,MA,22/07/2023,,30
0113028002,Chile 4130,Villa del Cerro,MA,23/6/2023,MA,01/07/2023,MA,22/07/2023,,30
0113028002,Grecia 4139,Villa del Cerro,MA,23/6/2023,MA,01/07/2023,MA,22/07/2023,,30
0113028002,Grecia 4111,Villa del Cerro,H,23/6/2023,,,,,,30
0113028002,Chile 4112,Villa del Cerro,H,23/6/2023,,,,,,30
0113005003,Viacaba 1729,Villa del Cerro,MA,24/6/2023,H,01/07,,,,43
0113005003,"Grecia 3545, apto. 07",Villa del Cerro,MA,24/6/2023,,,,,,43
0113005003,"Grecia 3545, apto. 13",Villa del Cerro,R,24/6/2023,,,,,,43
0113005003,Grecia 3533,Villa del Cerro,H,24/6/2023,,,,,,43
0113005003,Barcelona 1734,Villa del Cerro,MA,24/6/2023,,,,,,43
0113005003,Chile 3526,Villa del Cerro,H,24/6/2023,,,,,,43
0113004002,Turquía 3644,Villa del Cerro,O,24/06/2023,R,01/07/2023,,,,27
0113004002,Egipto 3603,Villa del Cerro,MA,24/06/2023,,,,,,27
0113004002,Egipto 3627,Villa del Cerro,MA,24/06/2023,H,01/07/2023,,,,27
0113004002,Egipto 3649,Villa del Cerro,MA,24/06/2023,,,,,,27
0113004002,Ecuador 1625,Villa del Cerro,H,24/06/2023,,,,,,27
0113004002,Turquía 3614,Villa del Cerro,MA,24/06/2023,,,,,,27
0113005001,Chile 3610,Villa del Cerro,R,24/06/2023,,,,,,51
0113005001,Chile 3614,Villa del Cerro,MA,24/06/2023,,,,,,51
0113005001,Chile 3624,Villa del Cerro,MA,24/06/2023,,,,,,51
0113005001,Chile 3630,Villa del Cerro,MA,24/06/2023,,,,,,51
0113005001,Ecuador 1729,Villa del Cerro,MA,24/06/2023,H,01/07/2023,,,,51
0113005001,Chile 3614,Villa del Cerro,H,24/06/2023,,,,,,51
0113019006,Turquía 3824,Villa del Cerro,MA,24/06/2023,,,,,,37
0113019006,Suecia 1639,Villa del Cerro,MA,24/06/2023,,,,,,37
0113019006,Suecia 1611,Villa del Cerro,MA,24/06/2023,,,,,,37
0113019006,Egipto 3829,Villa del Cerro,H,24/06/2023,,,,,,37
0113019006,Rusia 1616,Villa del Cerro,R,24/06/2023,,,,,,37
0113019006,Turquía 3802,Villa del Cerro,NC,24/06/2023,,,,,Abandonada,37
0113018014,Charcas 1719,Villa del Cerro,R,24/06/2023,,,,,,41
0113018014,Grecia 3743,Villa del Cerro,NC,24/06/2023,,,,,,41
0113018014,Grecia 3719,Villa del Cerro,MA,24/06/2023,,,,,,41
0113018014,Holanda 1711,Villa del Cerro,R,24/06/2023,,,,,,41
0113018014,Holanda 1742,Villa del Cerro,O,24/06/2023,,,,,Mejor no ,41
0113018014,Chile 3724,Villa del Cerro,MA,24/06/2023,,,,,,41
0113030004,Japón 1584,Villa Del Cerro,R,23/06/2023,,,,,,46
0113030004,Vigo 4259,Villa Del Cerro,MA,23/06/2023,H,22/07/2023,,,,46
0113030004,C.M Ramirez 1553,Villa Del Cerro,MA,23/06/2023,MA,22/07/2023,,,,46
0113030004,C.M.Ramirez 1575,Villa Del Cerro, ,23/06/2023,,,,,Iglesia,46
0113030004,Egipto 4286,Villa Del Cerro,MA,23/06/2023,H,22/07/2023,,,,46
0113030004,Japón 1572,Villa Del Cerro,MA,22/07/2023,MA,22/07/2023,,,,46
0113030004,Vigo 4291,Villa Del Cerro,H,22/07/2023,,,,,,46
0113005009,"Grecia 3576, apto. 1",Villa del Cerro,MA,24/6/2023,,,,,,32
0113005009,Prusia 1665,Villa del Cerro,R,24/6/2023,,,,,,32
0113005009,Turquía 3573,Villa del Cerro,R,24/6/2023,,,,,,32
0113004004,Barcelona 1625,Villa del Cerro,H,24/06/2023,,,,,,39
0113004004,Turquía 3524,Villa del Cerro,R,24/06/2023,,,,,,39
0113004004,Viacaba 1643,Villa del Cerro,H,24/06/2023,,,,,,39
0113004004,Viacaba 1625,Villa del Cerro,MA,24/06/2023,,,,,,39
0113004004,Egipto 3534,Villa del Cerro,MA,24/06/2023,,,,,,39
0113004004,Egipto 3523,Villa del Cerro,H,24/06/2023,,,,,,39
0113028600,Burdeos 1611,Villa del Cerro,R,23/06/2023,,,,,,25
0113028600,Perú 1604,Villa del Cerro,H,23/06/2023,,,,,,25
0113028600,Perú 1642,Villa del Cerro,MA,23/06/2023,H,01/07/2023,,,,25
0113028600,Egipto 4077,Villa del Cerro,MA,24/06/2023,H,24/06/2023,,,,25
0113028600,Turquía 4062,Villa del Cerro,H,24/06/2023,,,,,,25
0113028600,Turquía 4086,Villa del Cerro,H,24/06/2023,,,,,,25
0113021017,China 1738,Villa del Cerro,MA,24/06/2023,,,,,No se volvió a visitar,18
0113021017,Chile 3992,Villa del Cerro,MA,24/06/2023,,,,,No se volvió a visitar,18
0113021017,Bélgica 1739,Villa del Cerro,MA,24/06/2023,,,,,No se volvió a visitar,18
0113021017,Bélgica 1715,Villa del Cerro,R,24/06/2023,,,,,,18
0113021017,Grecia 3989,Villa del Cerro,R,24/06/2023,,,,,,18
0113021017,Grecia 3975,Villa del Cerro,MA,24/06/2023,,,,,No se volvió a visitar ,18
0113028007,Turquía 4164,Villa del Cerro,MA,23/06/2023,H,22/07/2023,,,,35
0113028007,Estados Unidos 1601,Villa del Cerro,R,23/06/2023,,,,,,35
0113028007,Estados Unidos 1639,Villa del Cerro,MA,23/06/2023,H,22/07/2023,,,,35
0113028007,Egipto 4177,Villa del Cerro,H,23/06/2023,,,,,,35
0113028007,Berna 1618,Villa del Cerro,MA,23/06/2023,R,22/07/2023,,,,35
0113028007,Turquía 4160,Villa del Cerro,R,23/06/2023,,,,,,35
0113005012,Argentina 1660,Villa del Cerro,MA,24/6/2023,H,01/07/2023,,,"En la hoja de ruta dice MA el 24/6 y en observaciones H, asumí que se hicieron el 1/7 porque hay dos formularios con esa fecha y este codcomp",36
0113005012,Argentina 1678 ap5,Villa del Cerro,R,24/6/2023,,,,,,36
0113005012,Grecia 3426,Villa del Cerro,MA,24/6/2023,H,01/07/2023,,,"En la hoja de ruta dice MA el 24/6 y en observaciones H, asumí que se hicieron el 1/7 porque hay dos formularios con esa fecha y este codcomp",36
0113005012,Grecia 3444,Villa del Cerro,H,24/6/2023,,,,,,36
0113005012,Centro América 1677,Villa del Cerro,H,24/6/2023,,,,,,36
0113005012,Centro América 3445,Villa del Cerro,H,24/6/2023,,,,,,36
0113001006,Turquía 3203,Villa del Cerro,MA,24/6/2023,H,01/07/2023,,,,39
0113001006,Grecia 3202,Villa del Cerro,MA,24/6/2023,R,01/07/2023,,,,39
0113001006,Grecia 3232,Villa del Cerro,MA,24/6/2023,R,01/07/2023,,,,39
0113001006,Inglaterra 1685,Villa del Cerro,MA,24/6/2023,H,01/07/2023,,,,39
0113001006,Inglaterra 1655 ap 102,Villa del Cerro,MA,24/6/2023,MA,01/07/2023,,,,39
0113001006,Inglaterra 1655 ap 302,Villa del Cerro,MA,24/6/2023,H,01/07/2023,,,,39
0113028004,Grecia 4162,Villa del Cerro,NC,23/6/2023,,,,,,32
0113028004,Grecia 4194,Villa del Cerro,MA,23/6/2023,MA,24/6/2023,,,Parece deshabitada,32
0113028004,Estados Unidos 1683,Villa del Cerro,MA,23/6/2023,H,24/6/2023,,,,32
0113028004,Turquía 4169,Villa del Cerro,MA,23/6/2023,MA,24/6/2023,H,22/7/2023,,32
0113028004,Berna 1666,Villa del Cerro,H,23/6/2023,,,,,,32
0113028004,Berna 1686,Villa del Cerro,MA,23/6/2023,H,24/6/2023,,,,32
0113028004,Grecia 4158,Villa del Cerro,F,23/6/2023,H,24/6/2023,,,,32
0113019003,Grecia 3774,Villa del Cerro,MA,24/6/2023,,,,,,48
0113019003,Turquía 3789,Villa del Cerro,MA,24/6/2023,,,,,,48
0113019003,"Turquía 3773, apto. 4",Villa del Cerro,MA,24/6/2023,,,,,,48
0113019003,Charcas 1656,Villa del Cerro,MA,24/6/2023,,,,,,48
0113019003,Charcas 1686,Villa del Cerro,MA,24/6/2023,,,,,,48
0113019003,Rusia 1687,Villa del Cerro,R,24/6/2023,,,,,,48
0113019008,Turquía 3736,Villa del Cerro,MA,24/6/2023,,,,,,41
0113019008,Charcas 1623,Villa del Cerro,H,24/6/2023,,,,,,41
0113019008,"Turquía 3744, apto. 1",Villa del Cerro,MA,24/6/2023,,,,,Pasar en otro momento,41
0113019008,Egipto 3735,Villa del Cerro,R,24/6/2023,,,,,,41
0113019008,Egipto 3705,Villa del Cerro,H,24/6/2023,,,,,,41
0113019008,Holanda 1640,Villa del Cerro,MA,24/6/2023,,,,,,41
0113005006,Francia 1710 apartamento 1,Villa del Cerro,R,24/6/2023,,,,,,51
0113005006,Chile 3358,Villa del Cerro,H,24/6/2023,,,,,,51
0113005006,República Argentina 1707,Villa del Cerro,MA,24/6/2023,Hecha,24/6/2023,,,,51
0113005006,Francia 1706,Villa del Cerro,P,24/6/2023,,,,,,51
0113005006,Francia 1730,Villa del Cerro,R,24/6/2023,,,,,,51
0113001001,Norteamérica 1728,Villa del Cerro,H,24/6/2023,,,,,,54
0113001001,Chile 3330,Villa del Cerro,R,24/6/2023,H,01/07/2023,,,,54
0113001001,Francia s/n entre 1749 y 1735,Villa del Cerro,Otro,24/6/2023,,,,,Puerta gris. Corresponde a un galpón,54
0113001001,Francia 1715,Villa del Cerro,MA,24/6/2023,MA,01/07/2023,,,,54
0113001001,Grecia 3319 apartamento 101,Villa del Cerro,MA,24/6/2023,R,01/07/2023,,,,54
0113001001,Grecia 3321 apartamento 202,Villa del Cerro,H,24/6/2023,,,,,,54
0113001003,Inglaterra 1732,Villa del Cerro,MA,24/6/2023,MA,01/07/2023,,,,40
0113001003,Chile 3254,Villa del Cerro,MA,24/6/2023,MA,01/07/2023,,,,40
0113005005,Chile 1423,Villa del Cerro,MA,24/6/2023,,,,,,55
0113005005,Grecia 3531,Villa del Cerro,MA,24/6/2023,,,,,,55
0113005005,Rebública Argentina 1720,Villa del Cerro,MA,24/6/2023,,,,,,55
0113005005,Chile 3424,Villa del Cerro,H,24/6/2023,,,,,,55